HolderAddress,Balance
0x1d5766708609b0b2928d6075ebD73e0afA66C30f,1100
0xBC8C0b4615d58Dbe5fF6E93161db0cC9a5004DEE,551
0x26c4FF4C5D59cD3e9F9278B18dad2e2F81076932,275
0x72C28eB344f299b4Eef429Bd9953a4c2aC49ebB2,250
0x59bD0607436807926e96AbEA518390EBE604D595,250
0x041bf3D045118F4D354d9c64a92D47b4A521d2e1,195
0xdd251736720B8fDff274eb5F67f7e7077eb208E1,100
0xD3765b08f9eff2ADc960665A7f7b3c49CA839824,100
0x08b2BB909aB8692Dac22464cfd90fcb015ABD5AC,70
0xe6bd108de4bB86f0c79fCF4c2B5EC911192460Fe,53
0x6C91c4346b9635c09b01447ecEF12ce9D9d4600F,51
0xF24A4829e529B41fae628538055957ce9F0dD210,50
0x9eB28E5ae8c89cE3BeC92a21B1B21185583F9a0D,50
0x9e9105c84bE2Ac147DB50E4bC68BE23525A05107,50
0x89Fa90356aFb58795cF4d3B40c87Cd54C919359b,50
0x66c8D4504049552441C9325F27341C8e4283E6E1,50
0x5Bf48719875BdE557771b7716e860C62A4bc569e,50
0x549fA2c9F88d7074198A814E0dD77DB2F6A85275,50
0x32c93687F605B9F65C0eb023a391a970D008188F,50
0x3190c12068E470691ecac2B68B26310B378E7199,50
0x04B94CE2aaD5938530420bf4076Bb5135D1A6B51,50
0x049Ba56273AC08FD32b04bCD64E27A7A11c2b071,50
0xb38f30f5B8a09F82a7aF4385a2678C7EDd5F029f,40
0x7984E1308e3DB33ea9834E7333FC3bD207e8e103,40
0x45b4619344D3741e9Da6e0E2D983FA1e788B316F,40
0xeEC21b8AEbf9a7d3fC696895a3f88722DB7B7fa1,34
0x53A6b8299e445835581BB477dB7c5ACa2337bd35,30
0x2A2D572C783631e94711FaD976367778a92E539E,27
0xE2766EA5991a86892801c5f77237BeDdaccF1766,25
0xd488679dCd9212FE9a11344d43de94f2DB3b6b94,25
0xbF45491C254918C8B6ca7d68F5bd2014f08bfbFD,25
0x9812f67321Ee02b6ae9003FAABC80e41516808E9,25
0x89Ae85865D1b1D4CEE35A8E3Bd5be581F17cfed4,25
0x7a569030c0Ab042154aA967EF58aC5f3Ff584EcC,25
0x3ec56bbac1a865B3e9F0DeEC837f4013cc23E80b,24
0x92Deb9f8b74EDcA3C445440EF462D2aFE5710f65,20
0x680E8a76347FCe28f8D3C2A892720b51Ed2aa9A0,18
0x3545a0E4F69B88Dd0311a7D51fD329830B560261,15
0xbdb3f9d1c46b565DC46E2eFf5B94c50941B9d959,13
0x8DF6eBBEa92D298A422aEd100f572d95c6767431,13
0x8F7862C37752bf013B26d0aDaABfd7Cd4639Fc91,11
0xf9F53fceaD1a4A247EF674712B80F9a0405787c0,10
0xeeaa97E8169986FeC4491eDabDB129711Bfd9885,10
0x8f65D27c67F4AEc557059D9a113Ad95B7869bB59,10
0xcE24f50CD1361598B715899d89380cC5B248e06C,8
0x561E37Ebe47ADeF2D2bd8CDD6D677E03C81D2d4F,7
0x8e21e77A99A79AA73329453A67b5bE81b66E8539,6
0x8b48E339121AF848C9D303E10B0B2C024DF54930,6
0x8569b8262d5690A377Bfcf046E0ca2DcD54c0775,6
0x765c28882Af76f70501d3ec1407Ce951Bb5d03DE,6
0xF1639b8c60FCf8Bb6e8f1B6ae22551E499BB5bff,5
0xCd0A7F194378e54668A000329Aa95c2987035eaA,5
0x90b1bADA63d1b932a9457C812C0439eBd162380B,5
0x4787D80C8568545001115A3aFeCd71a832f069E9,5
0x2436CE4Ed5fBD983730CC000F133C867e8fD415A,4
0x02756D19BbC1fBEe015aADde0e17e22Adad30616,4
0xF3Df0c23DAF2df17ef99026B5505A68C1a0e94F0,3
0x3426Ebe4eAB2eD1DBDf7a86e5415f0bAf00A260a,3
0xf6D774521e2A5225B72585Ac592B8823033cE479,2
0xe50397042d1Bb1c32f8dD7770730412cd6FECB3F,2
0xdE6F70f49B095bF86F2d3FBfB7F94bA5c347d8A1,2
0xD96BBf681280147944E6fA2691D627A4C15048e8,2
0xCAb2278C315D69E7c3E14F8920C9730cdb5A2f05,2
0xBADE13c6d2f5ffBE4a13C961361F2F6f6ed755A9,2
0xB7DE7Ad434e56b7889bc2c96dA05624422D60A9b,2
0xade6B063077d7156bA541BBBbe015fdA01c7F0E8,2
0xA9940E989916edc2D1F8dF1b1f16825D65AACdca,2
0x7f67AB78192dee2635cb63E9ce56104B61981879,2
0x7506B5c4287C77dE5ea1D00B60DD866b635DD1b0,2
0x2Be56fA5e09E8B85602321B8b32b3b9399991e25,2
0x288E783BF640fA98deFdc85d0Cc3D510580A915b,2
0xf70612c06590019d172c78e6B185720b83b0b45D,1
0xf00C9E759493BC351320A5333913569105c58CA9,1
0xE92e10cEa4ed3cC916c6f2e9386d26e52d78b5c7,1
0xe3B1d9e7aD9ABe376d59f545aeE0fE730F2C23Fb,1
0xd9ebcd5787197d15Fd037e2a6b0EAc8b76c4bcA6,1
0xD4ab7Ce4e1bE51D2Baa66520903aA23fE948A6b2,1
0xd3d0789455778839a6Aa434de3c77343a1f633b5,1
0xcbe06c316622A2806aD8E21afcbE7E38af1fCfd5,1
0xCb54c9D58B0f34f2608731994213abaa2c3374d3,1
0xc0ECE9ee5434D154b864E6EbeF233C2D44A37AF9,1
0xb9D36d10Cb2A25173C39a0F14Ac69de43A8ca2f6,1
0xB70ce90d87a04FabeBE7C62D1Fb960AB14a0C535,1
0xaE5756B569D2A3179424392164b005aef4167b06,1
0xaBa084E1026EF720A5eC9Dc9cfED9049De0F0b94,1
0xaaffF3e2B6d975F74e3140A11650e1Ff2E22AAe1,1
0xa559E0a220cF65C7Dda65019d0Cf37b42c6438fB,1
0x9f7a8Eda7aDEa693Ef9800e5Db07D8884F5e174b,1
0x9e818D04A9f78A188f18baD0b035Ab3A185364be,1
0x9a6aa82287FE1A1e8FFd9AB78a7c882F4bBe2A7D,1
0x913fD1751aFD3b1Ea8c1F08A6aAf0EfD40d13875,1
0x8df93dFdF76F8F497ec43BDF496ffC6eA9d7D512,1
0x89e6B872411Dbd7e79B00088F580c72eBb5C5F3c,1
0x8365Ea54b959aCBa44DB3DEc0cCC7c2672AC4476,1
0x7d83c73a006C52310151a6C94eac289DC7F3Aa31,1
0x7CD563cDD957fE25d2DEa6becDB782BDBd2E7e54,1
0x74f042557EE738219622799481018b2801D5d307,1
0x6664F44028CBD56B74e04097BA9391679Bd69DCe,1
0x51002d25D3c60BE3b4423dC859a1afA25c2811bb,1
0x494Bf7805FaB29C9A66731d9337E50b3Fc507323,1
0x41eF65BA44e92f15466b4C805D8Ed5b3145Fc544,1
0x3AD4eB9AcD4d3925A57FD00eb425C2b55d24182C,1
0x335E1cD1b9278C74F2A250F2D80E4E89A225b75E,1
0x31826750bF5837cf67C2054cc593D936a7679871,1
0x2B53018c25B644D7A8Ec5941F7eE005E8Ef771C3,1
0x2AAC9ee0b5BdF19173F89a5942b21b11aa28dae3,1
0x299F8CB76b669afeCDF58a807aFe08fB687F09CD,1
0x295b65919ECA98cE07Dc016a750109C545b45B40,1
0x27A42d89b48FBefF080d40C6BA34bB16ae2946e3,1
0x1D6e7Dd9A6Bcb66F41e805E4502d9F04fC543cce,1
0x1A6450dB193282cB7A4c9eBDbeE6a13EE91d60Eb,1
0x19ae35AAb9B96Dcf824Ae5B30B75ee97C15eF044,1
0x14D9F1b3e46A496DB7597DA84a3324b7d52D7725,1
0x11F139493026de0577BaC18BB47b36D104018f3D,1
